Drug A,Drug B,Comparison Type,Jaro-Winkler Sim,Levenshtein Dist,Soundex Match
Diprolene (Brand),deferiprone (Generic),Brand-to-Generic,0.8098,6,75%
Atacand (Brand),Natacyn (Brand),Brand-to-Brand,0.8095,3,75%
Estring (Brand),Zestril (Brand),Brand-to-Brand,0.8095,3,75%
Mavyret (Brand),Gavreto (Brand),Brand-to-Brand,0.8095,3,75%
Kaletra (Brand),Zaltrap (Brand),Brand-to-Brand,0.8095,3,75%
Prelone (Brand),Oralone (Brand),Brand-to-Brand,0.8095,2,75%
Prelone (Brand),Oralone (Brand),Brand-to-Brand,0.8095,2,75%
Prelone (Brand),Oralone (Brand),Brand-to-Brand,0.8095,2,75%
Altreno (Brand),Valtrex (Brand),Brand-to-Brand,0.8095,3,75%
Concerta (Brand),Conjugated (Brand),Brand-to-Brand,0.8094,6,75%
Galafold (Brand),galsulfase (Generic),Brand-to-Generic,0.8094,6,75%
Voranigo (Brand),vorinostat (Generic),Brand-to-Generic,0.8094,6,100%
Amphadase (Brand),amphetamine (Generic),Brand-to-Generic,0.8091,5,100%
Amphadase (Brand),amphetamine sulfate (Generic),Brand-to-Generic,0.8091,5,100%
natamycin (Generic),natalizumab (Generic),Generic-to-Generic,0.8091,7,75%
Tri-Linyah (Brand),trilaciclib (Generic),Brand-to-Generic,0.8091,6,75%
Trileptal (Brand),Tri-Lo-Linyah (Brand),Brand-to-Brand,0.8091,6,75%
rifaximin (Generic),rifapentine (Generic),Generic-to-Generic,0.8091,5,75%
clonazepam (Generic),clonidine hydrochloride oral (Generic),Generic-to-Generic,0.809,8,75%
enasidenib mesylate (Generic),ensifentrine (Generic),Generic-to-Generic,0.8089,6,75%
pregabalin (Generic),procarbazine hydrochloride (Generic),Generic-to-Generic,0.8089,5,75%
Tracleer (Brand),Trazimera (Brand),Brand-to-Brand,0.8088,4,75%
Triacin-C (Brand),Tri-Linyah (Brand),Brand-to-Brand,0.8088,5,75%
Verkazia (Brand),Versacloz (Brand),Brand-to-Brand,0.8088,5,100%
Ponlimsi (Brand),ponatinib hydrochloride (Generic),Brand-to-Generic,0.8088,5,75%
Precedex (Brand),Prezcobix (Brand),Brand-to-Brand,0.8088,4,75%
Precedex (Brand),Prezcobix (Brand),Brand-to-Brand,0.8088,4,75%
Melamisa (Brand),meloxicam (Generic),Brand-to-Generic,0.8088,4,75%
Northera (Brand),Norpramin (Brand),Brand-to-Brand,0.8088,6,75%
Danziten (Brand),danicopan (Generic),Brand-to-Generic,0.8088,5,75%
Propecia (Brand),Proleukin (Brand),Brand-to-Brand,0.8088,4,75%
Prevymis (Brand),Pred Mild (Brand),Brand-to-Brand,0.8088,4,75%
Carnitor (Brand),Carbidopa (Brand),Brand-to-Brand,0.8088,4,75%
Carnitor (Brand),Carbidopa (Brand),Brand-to-Brand,0.8088,4,75%
Empaveli (Brand),Empliciti (Brand),Brand-to-Brand,0.8088,5,75%
Definity (Brand),Defencath (Brand),Brand-to-Brand,0.8088,4,75%
Matulane (Brand),Matzim La (Brand),Brand-to-Brand,0.8088,6,75%
Diacomit (Brand),diazoxide (Generic),Brand-to-Generic,0.8088,4,75%
Carafate (Brand),Carbatrol (Brand),Brand-to-Brand,0.8088,5,100%
Belsomra (Brand),belimumab (Generic),Brand-to-Generic,0.8088,5,75%
Tepadina (Brand),tepotinib hydrochloride (Generic),Brand-to-Generic,0.8088,4,100%
Venxxiva (Brand),Venclexta (Brand),Brand-to-Brand,0.8088,5,75%
Hercessi (Brand),Hernexeos (Brand),Brand-to-Brand,0.8088,5,75%
Lincocin (Brand),linezolid (Generic),Brand-to-Generic,0.8088,4,75%
Fosfomycin Tromethamine (Brand),fostemsavir promethazine (Generic),Brand-to-Generic,0.8088,8,75%
Edex (Brand),Edecrin (Brand),Brand-to-Brand,0.8083,4,75%
Edex (Brand),Edecrin (Brand),Brand-to-Brand,0.8083,4,75%
Cyclogyl (Brand),cyclosporine (Generic),Brand-to-Generic,0.8083,7,100%
Procysbi (Brand),Procardia Xl (Brand),Brand-to-Brand,0.8083,7,75%
Cyclessa (Brand),cyclosporine (Generic),Brand-to-Generic,0.8083,7,100%
glucagon (Generic),Glucotrol Xl (Brand),Generic-to-Brand,0.8083,7,75%
glucagon (Generic),glucarpidase (Generic),Generic-to-Generic,0.8083,7,75%
methotrexate (Generic),methylergonovine maleate (Generic),Generic-to-Generic,0.8083,10,75%
Procardia Xl (Brand),prochlorperazine (Generic),Brand-to-Generic,0.8083,10,75%
cariprazine (Generic),carbamazepine (Generic),Generic-to-Generic,0.808,5,75%
carfilzomib (Generic),carbinoxamine maleate (Generic),Generic-to-Generic,0.8075,7,75%
azathioprine (Generic),azithromycin dihydrate (Generic),Generic-to-Generic,0.8074,6,75%
azathioprine (Generic),azithromycin monohydrate (Generic),Generic-to-Generic,0.8074,6,75%
etanercept (Generic),ethacrynate sodium (Generic),Generic-to-Generic,0.8073,7,75%
pegloticase (Generic),pegzilarginase (Generic),Generic-to-Generic,0.8072,6,75%
Azasite (Brand),Ahzantive (Brand),Brand-to-Brand,0.8071,4,75%
Naropin (Brand),Norpramin (Brand),Brand-to-Brand,0.8071,5,75%
Altreno (Brand),aztreonam (Generic),Brand-to-Generic,0.8071,4,75%
Calquence (Brand),calcipotriene (Generic),Brand-to-Generic,0.8071,8,75%
Prohance (Brand),promethazine (Generic),Brand-to-Generic,0.8069,6,75%
Prohance (Brand),promethazine hydrochloride (Generic),Brand-to-Generic,0.8069,6,75%
levocarnitine (Generic),levoketoconazole (Generic),Generic-to-Generic,0.8065,10,75%
Oralone (Brand),Orladeyo (Brand),Brand-to-Brand,0.8063,5,75%
Aponvie (Brand),apomorphine hydrochloride (Generic),Brand-to-Generic,0.8061,6,75%
Cefotan (Brand),ceftazidime (Generic),Brand-to-Generic,0.8061,7,75%
cleocin hydrochloride (Generic),clesrovimab (Generic),Generic-to-Generic,0.8061,6,75%
cleocin phosphate (Generic),clesrovimab (Generic),Generic-to-Generic,0.8061,6,75%
Cleocin (Brand),clesrovimab (Generic),Brand-to-Generic,0.8061,6,75%
Pradaxa (Brand),pravastatin (Generic),Brand-to-Generic,0.8061,6,75%
Pradaxa (Brand),pravastatin calcium (Generic),Brand-to-Generic,0.8061,6,75%
Pradaxa (Brand),pravastatin (Generic),Brand-to-Generic,0.8061,6,75%
Pradaxa (Brand),pravastatin calcium (Generic),Brand-to-Generic,0.8061,6,75%
Vimizim (Brand),vimseltinib (Generic),Brand-to-Generic,0.8061,6,75%
Prograf (Brand),propranolol hydrochloride (Generic),Brand-to-Generic,0.8061,6,75%
Betimol (Brand),bethanechol chloride (Generic),Brand-to-Generic,0.8061,6,75%
Briumvi (Brand),brimonidine tartrate (Generic),Brand-to-Generic,0.8061,7,75%
Cobenfy (Brand),cobimetinib (Generic),Brand-to-Generic,0.8061,6,75%
ropivacaine hydrochloride (Generic),rosuvastain calcium (Generic),Generic-to-Generic,0.8061,5,75%
Diacomit (Brand),dacomitinib (Generic),Brand-to-Generic,0.8057,5,100%
clonidine (Generic),clindamycin phosphate (Generic),Generic-to-Generic,0.8057,7,100%
clonidine hydrochloride (Generic),clindamycin phosphate (Generic),Generic-to-Generic,0.8057,7,100%
primidone (Generic),Pralidoxime Chloride (Brand),Generic-to-Brand,0.8057,5,75%
sorafenib (Generic),Solifenacin Succinate (Brand),Generic-to-Brand,0.8057,5,75%
Trazimera (Brand),Tri-Lo-Marzia (Brand),Brand-to-Brand,0.8057,6,75%
fluorometholone (Generic),flur and renolide (Generic),Generic-to-Generic,0.8057,11,100%
fluorometholone acetate (Generic),flur and renolide (Generic),Generic-to-Generic,0.8057,11,100%
Inlyta (Brand),Inluriyo (Brand),Brand-to-Brand,0.8056,5,75%
Pre-Pen (Brand),Pre-Op Ii (Brand),Brand-to-Brand,0.8056,4,75%
Celexa (Brand),Cellcept (Brand),Brand-to-Brand,0.8056,4,75%
Celexa (Brand),Cellcept (Brand),Brand-to-Brand,0.8056,4,75%
Invega (Brand),Invokana (Brand),Brand-to-Brand,0.8056,4,100%
Compro (Brand),Cometriq (Brand),Brand-to-Brand,0.8056,4,75%
Norvir (Brand),Northera (Brand),Brand-to-Brand,0.8056,4,75%
Arazlo (Brand),Aranelle (Brand),Brand-to-Brand,0.8056,4,75%
Prialt (Brand),Prilosec (Brand),Brand-to-Brand,0.8056,5,75%
Arimidex (Brand),primidone (Generic),Brand-to-Generic,0.8056,4,75%
avelumab (Generic),nivolumab (Generic),Generic-to-Generic,0.8056,3,75%
Dextenza (Brand),Ziextenzo (Brand),Brand-to-Brand,0.8056,3,75%
Zarontin (Brand),Neurontin (Brand),Brand-to-Brand,0.8056,3,75%
Betadine (Brand),methadone hydrochloride (Generic),Brand-to-Generic,0.8056,3,75%
Brilinta (Brand),Tri-Linyah (Brand),Brand-to-Brand,0.8056,3,75%
Proleukin (Brand),Provocholine (Brand),Brand-to-Brand,0.8056,7,75%
alosetron hydrochloride (Generic),clascoterone (Generic),Generic-to-Generic,0.8056,6,75%
Tecentriq (Brand),Tecfidera (Brand),Brand-to-Brand,0.8056,6,75%
etrasimod (Generic),etripamil (Generic),Generic-to-Generic,0.8056,5,75%
flutamide (Generic),fluocinonide (Generic),Generic-to-Generic,0.8056,6,75%
Ultravist (Brand),Ultomiris (Brand),Brand-to-Brand,0.8056,5,75%
triazolam (Generic),Tri-Estarylla (Brand),Generic-to-Brand,0.8056,7,75%
Triptodur (Brand),triheptanoin (Generic),Brand-to-Generic,0.8056,7,100%
Tryptyr (Brand),Triptodur (Brand),Brand-to-Brand,0.8053,4,100%
Truxima (Brand),Trazimera (Brand),Brand-to-Brand,0.8053,4,100%
cleocin hydrochloride (Generic),clozapine (Generic),Generic-to-Generic,0.8053,5,75%
cleocin phosphate (Generic),clozapine (Generic),Generic-to-Generic,0.8053,5,75%
Cleocin (Brand),clozapine (Generic),Brand-to-Generic,0.8053,5,75%
Focalin (Brand),foscarnet sodium (Generic),Brand-to-Generic,0.8053,5,75%
digoxin (Generic),diazoxide (Generic),Generic-to-Generic,0.8053,4,75%
digoxin (Generic),diroximel fumarate (Generic),Generic-to-Generic,0.8053,4,75%
Demerol (Brand),Detrol La (Brand),Brand-to-Brand,0.8053,5,75%
Desyrel (Brand),degarelix (Generic),Brand-to-Generic,0.8053,4,100%
Trazimera (Brand),triazolam (Generic),Brand-to-Generic,0.8053,6,75%
Tri-Lo-Marzia (Brand),tralokinumab (Generic),Brand-to-Generic,0.8051,7,75%
Cyklokapron (Brand),cyclosporine (Generic),Brand-to-Generic,0.8051,6,100%
Ella (Brand),Eylea (Brand),Brand-to-Brand,0.805,2,100%
Tenormin (Brand),tobramycin (Generic),Brand-to-Generic,0.805,6,75%
Mycamine (Brand),mesalamine (Generic),Brand-to-Generic,0.805,4,75%
Naprosyn (Brand),Nephroscan (Brand),Brand-to-Brand,0.805,4,100%
Mysoline (Brand),mesalamine (Generic),Brand-to-Generic,0.805,4,100%
Matulane (Brand),mesalamine (Generic),Brand-to-Generic,0.805,5,75%
Anectine (Brand),amantadine hydrochloride (Generic),Brand-to-Generic,0.805,5,75%
Anectine (Brand),Amantadine (Brand),Brand-to-Brand,0.805,5,75%
paroxetine (Generic),prasterone (Generic),Generic-to-Generic,0.805,6,100%
paroxetine hydrochloride (Generic),prasterone (Generic),Generic-to-Generic,0.805,6,100%
ocrelizumab (Generic),Ocrevus Zunovo (Brand),Generic-to-Brand,0.8048,8,75%
remibrutinib (Generic),remifentanil hydrochloride (Generic),Generic-to-Generic,0.8048,5,75%
levetiracetam (Generic),levocarnitine (Generic),Generic-to-Generic,0.8046,9,75%
Prevalite (Brand),Provayblue (Brand),Brand-to-Brand,0.8044,5,75%
erlotinib (Generic),ergotamine tartrate (Generic),Generic-to-Generic,0.8044,5,75%
tiopronin (Generic),tipranavir (Generic),Generic-to-Generic,0.8044,5,100%
methylphenidate (Generic),methyltestosterone (Generic),Generic-to-Generic,0.8044,10,75%
methylphenidate hydrochloride (Generic),methyltestosterone (Generic),Generic-to-Generic,0.8044,10,75%
Ryvent (Brand),Revonto (Brand),Brand-to-Brand,0.8043,3,100%
Clomid (Brand),Columvi (Brand),Brand-to-Brand,0.8043,4,75%
Crotan (Brand),Cordran (Brand),Brand-to-Brand,0.8043,3,75%
Acular (Brand),Asclera (Brand),Brand-to-Brand,0.8043,4,100%
Tasmar (Brand),Tosymra (Brand),Brand-to-Brand,0.8043,4,100%
clozapine (Generic),tolcapone (Generic),Generic-to-Generic,0.8042,5,75%
fitusiran (Generic),patisiran (Generic),Generic-to-Generic,0.8042,3,75%
Vandazole (Brand),Tindazole (Brand),Brand-to-Brand,0.8042,2,75%
crisaborole (Generic),carisoprodol (Generic),Generic-to-Generic,0.8038,6,100%
pirfenidone (Generic),prednisolone (Generic),Generic-to-Generic,0.8038,6,75%
pirfenidone (Generic),prednisolone acetate (Generic),Generic-to-Generic,0.8038,6,75%
pirfenidone (Generic),prednisolone sodium phosphate (Generic),Generic-to-Generic,0.8038,6,75%
remifentanil hydrochloride (Generic),Remeronsoltab (Brand),Generic-to-Brand,0.8033,9,75%
Betagan (Brand),betaxolol hydrochloride (Generic),Brand-to-Generic,0.8032,5,75%
Retevmo (Brand),reteplase (Generic),Brand-to-Generic,0.8032,5,75%
Prograf (Brand),Proglycem (Brand),Brand-to-Brand,0.8032,5,75%
atrasentan (Generic),aprocitentan (Generic),Generic-to-Generic,0.8025,5,75%
ciclopirox (Generic),cyclosporine (Generic),Generic-to-Generic,0.8025,6,75%
Stromectol (Brand),solriamfetol (Generic),Brand-to-Generic,0.8025,6,75%
Metopirone (Brand),mifepristone (Generic),Brand-to-Generic,0.8025,6,75%
permethrin (Generic),promethazine (Generic),Generic-to-Generic,0.8025,5,100%
permethrin (Generic),promethazine hydrochloride (Generic),Generic-to-Generic,0.8025,5,100%
Onapgo (Brand),Onpattro (Brand),Brand-to-Brand,0.8022,4,75%
Breyna (Brand),Brineura (Brand),Brand-to-Brand,0.8022,4,75%
Ryvent (Brand),Ryzneuta (Brand),Brand-to-Brand,0.8022,4,75%
Riabni (Brand),rifampin (Generic),Brand-to-Generic,0.8022,4,75%
Prolia (Brand),Prilosec (Brand),Brand-to-Brand,0.8022,5,75%
Onsura (Brand),Oncaspar (Brand),Brand-to-Brand,0.8022,5,75%
Ermeza (Brand),erenumab (Generic),Brand-to-Generic,0.8022,5,75%
Nexterone (Brand),Nextstellis (Brand),Brand-to-Brand,0.802,6,75%
Brenzavvy (Brand),brensocatib (Generic),Brand-to-Generic,0.802,6,100%
Cardamyst (Brand),Cardizem Cd (Brand),Brand-to-Brand,0.802,6,75%
Cardamyst (Brand),Cardizem La (Brand),Brand-to-Brand,0.802,6,75%
Trileptal (Brand),Tri-Lo-Marzia (Brand),Brand-to-Brand,0.802,7,75%
Defencath (Brand),deferasirox (Generic),Brand-to-Generic,0.802,7,75%
Defencath (Brand),Deferasorox (Brand),Brand-to-Brand,0.802,7,75%
adalimumab (Generic),aducanumab (Generic),Generic-to-Generic,0.8019,4,75%
amiodarone hydrochloride (Generic),amlodipine (Generic),Generic-to-Generic,0.8019,4,50%
amiodarone hydrochloride (Generic),amlodipine besylate (Generic),Generic-to-Generic,0.8019,4,50%
ceftaroline fosamil (Generic),cefiderocol sulfate tosylate (Generic),Generic-to-Generic,0.8019,13,100%
Simponi (Brand),Symproic (Brand),Brand-to-Brand,0.8018,4,75%
Suprane (Brand),Sporanox (Brand),Brand-to-Brand,0.8018,4,100%
Suprane (Brand),Sprintec (Brand),Brand-to-Brand,0.8018,4,100%
Flector (Brand),Fylnetra (Brand),Brand-to-Brand,0.8018,5,75%
Lanoxin (Brand),Lincocin (Brand),Brand-to-Brand,0.8018,3,75%
Eulexin (Brand),Elestrin (Brand),Brand-to-Brand,0.8018,4,75%
Arestin (Brand),Anectine (Brand),Brand-to-Brand,0.8018,3,75%
Coxanto (Brand),Carnitor (Brand),Brand-to-Brand,0.8018,5,75%
Crestor (Brand),Carnitor (Brand),Brand-to-Brand,0.8018,3,75%
Sylvant (Brand),Survanta (Brand),Brand-to-Brand,0.8018,3,75%
Pedmark (Brand),Premarin (Brand),Brand-to-Brand,0.8018,4,75%
Pedmark (Brand),Premarin (Brand),Brand-to-Brand,0.8018,4,75%
Natroba (Brand),Nitro-Bid (Brand),Brand-to-Brand,0.8018,3,100%
Ibtrozi (Brand),Intropin (Brand),Brand-to-Brand,0.8018,3,75%
Torisel (Brand),Trisenox (Brand),Brand-to-Brand,0.8018,4,75%
hydralazine hydrochloride (Generic),hydromorphone hydrochloride (Generic),Generic-to-Generic,0.8014,7,75%
phentermine hydrochloride (Generic),phenobarbital sodium (Generic),Generic-to-Generic,0.8014,7,75%
trilaciclib (Generic),Tri-Lo-Sprintec (Brand),Generic-to-Brand,0.8014,8,100%
concizumab (Generic),canakinumab (Generic),Generic-to-Generic,0.8009,4,75%
Cerubidine (Brand),clevidipine (Generic),Brand-to-Generic,0.8009,5,75%
nirsevimab (Generic),narsoplimab (Generic),Generic-to-Generic,0.8009,4,100%
tizanidine hydrochloride (Generic),thioguanine (Generic),Generic-to-Generic,0.8009,6,75%
hydrochlorothiazide (Generic),hydroxyzine pamoate (Generic),Generic-to-Generic,0.8009,13,100%
daclizumab (Generic),tocilizumab (Generic),Generic-to-Generic,0.8008,3,75%
eculizumab (Generic),tocilizumab (Generic),Generic-to-Generic,0.8008,3,75%
ensartinib (Generic),zongertinib (Generic),Generic-to-Generic,0.8008,4,75%
pacritinib (Generic),quizartinib (Generic),Generic-to-Generic,0.8008,6,75%
somatropin (Generic),menotropins (Generic),Generic-to-Generic,0.8008,5,75%
anagrelide hydrochloride (Generic),anastrozole (Generic),Generic-to-Generic,0.8006,6,75%
Betoptic S (Brand),Betapace Af (Brand),Brand-to-Brand,0.8006,6,75%
carvedilol (Generic),carfilzomib (Generic),Generic-to-Generic,0.8006,7,75%
carvedilol phosphate (Generic),carfilzomib (Generic),Generic-to-Generic,0.8006,7,75%
duloxetine (Generic),dulaglutide (Generic),Generic-to-Generic,0.8006,5,75%
duloxetine hydrochloride (Generic),dulaglutide (Generic),Generic-to-Generic,0.8006,5,75%
epirubicin hydrochloride (Generic),epinephrine (Generic),Generic-to-Generic,0.8006,6,75%
Depo-Medrol (Brand),Depakote Er (Brand),Brand-to-Brand,0.8006,7,75%
Mirapex Er (Brand),mirtazapine (Generic),Brand-to-Generic,0.8006,7,75%
prilocaine hydrochloride (Generic),Primaxin Iv (Brand),Generic-to-Brand,0.8006,7,75%
Lincomycin (Brand),linaclotide (Generic),Brand-to-Generic,0.8006,7,75%
Lincomycin (Brand),linaclotide (Generic),Brand-to-Generic,0.8006,7,75%
malathion (Generic),Multihance (Brand),Generic-to-Brand,0.8005,7,100%
Remodulin (Brand),romidepsin (Generic),Brand-to-Generic,0.8005,5,75%
Depo-Estradiol (Brand),Depo-Subq Provera (Brand),Brand-to-Brand,0.8004,11,75%
fluorescein (Generic),flurbiprofen (Generic),Generic-to-Generic,0.8003,8,75%
fluorescein sodium (Generic),flurbiprofen (Generic),Generic-to-Generic,0.8003,8,75%
mirtazapine (Generic),mirdametinib (Generic),Generic-to-Generic,0.8003,6,75%
paltusotine (Generic),palonosetron (Generic),Generic-to-Generic,0.8003,7,75%
penciclovir (Generic),penicillin v potassium (Generic),Generic-to-Generic,0.8003,6,75%
penciclovir (Generic),Penicillin-Vk (Brand),Generic-to-Brand,0.8003,6,75%
trifarotene (Generic),triheptanoin (Generic),Generic-to-Generic,0.8003,8,75%
triptorelin (Generic),trifluridine (Generic),Generic-to-Generic,0.8003,6,75%
Soma (Brand),Soaanz (Brand),Brand-to-Brand,0.8,3,75%
Azelex (Brand),Avelox (Brand),Brand-to-Brand,0.8,2,75%
Valnac (Brand),Volnea (Brand),Brand-to-Brand,0.8,3,75%
Dovato (Brand),Diovan (Brand),Brand-to-Brand,0.8,3,75%
Alvaiz (Brand),Akovaz (Brand),Brand-to-Brand,0.8,3,75%
Aptiom (Brand),Anthim (Brand),Brand-to-Brand,0.8,3,75%
Avapro (Brand),Anaprox Ds (Brand),Brand-to-Brand,0.8,5,75%
Latuda (Brand),Lialda (Brand),Brand-to-Brand,0.8,3,75%
Norvasc (Brand),Nora Be (Brand),Brand-to-Brand,0.8,4,75%
Norvasc (Brand),Nora Be (Brand),Brand-to-Brand,0.8,4,75%
Eliquis (Brand),Elinest (Brand),Brand-to-Brand,0.8,4,75%
Azasite (Brand),Azactam (Brand),Brand-to-Brand,0.8,4,100%
Treanda (Brand),Tremfya (Brand),Brand-to-Brand,0.8,3,75%
betaine (Generic),Betimol (Brand),Generic-to-Brand,0.8,4,75%
Avastin (Brand),Avalide (Brand),Brand-to-Brand,0.8,4,75%
Veltane (Brand),Veletri (Brand),Brand-to-Brand,0.8,4,75%
Yuvezzi (Brand),Yuviwel (Brand),Brand-to-Brand,0.8,4,75%
Peridex (Brand),Pertzye (Brand),Brand-to-Brand,0.8,4,100%
Pregnyl (Brand),Prelone (Brand),Brand-to-Brand,0.8,4,75%
Pregnyl (Brand),Prelone (Brand),Brand-to-Brand,0.8,4,75%
Pregnyl (Brand),Prelone (Brand),Brand-to-Brand,0.8,4,75%
Xaciato (Brand),Xacduro (Brand),Brand-to-Brand,0.8,3,75%
Aricept (Brand),Arixtra (Brand),Brand-to-Brand,0.8,4,75%
Soliris (Brand),Solosec (Brand),Brand-to-Brand,0.8,4,75%
Savaysa (Brand),Savella (Brand),Brand-to-Brand,0.8,3,75%
Halaven (Brand),Halcion (Brand),Brand-to-Brand,0.8,3,75%
Procrit (Brand),Prograf (Brand),Brand-to-Brand,0.8,3,100%
Cordran (Brand),Corvert (Brand),Brand-to-Brand,0.8,4,75%
Tremfya (Brand),Tresiba (Brand),Brand-to-Brand,0.8,3,75%
Tresiba (Brand),Trexall (Brand),Brand-to-Brand,0.8,4,75%
Opsumit (Brand),Opsynvi (Brand),Brand-to-Brand,0.8,4,100%
Actonel (Brand),Actemra (Brand),Brand-to-Brand,0.8,4,100%
Valcyte (Brand),Valstar (Brand),Brand-to-Brand,0.8,4,100%
Valcyte (Brand),Valstar (Brand),Brand-to-Brand,0.8,4,100%
afatinib (Generic),aficamten (Generic),Generic-to-Generic,0.8,6,75%
afatinib mesylate (Generic),aficamten (Generic),Generic-to-Generic,0.8,6,75%
Praluent (Brand),Proleukin (Brand),Brand-to-Brand,0.8,5,75%
Arikayce (Brand),articaine hydrochloride (Generic),Brand-to-Generic,0.8,4,75%
Norliqva (Brand),Nourianz (Brand),Brand-to-Brand,0.8,5,75%
Trisenox (Brand),tretinoin (Generic),Brand-to-Generic,0.8,5,75%
Filsuvez (Brand),Filspari (Brand),Brand-to-Brand,0.8,4,100%
Crysvita (Brand),Cryselle (Brand),Brand-to-Brand,0.8,4,75%
Zerviate (Brand),Zorbtive (Brand),Brand-to-Brand,0.8,5,100%
Sympazan (Brand),Symproic (Brand),Brand-to-Brand,0.8,4,75%
Tranxene (Brand),trientine hydrochloride (Generic),Brand-to-Generic,0.8,4,75%
Colestid (Brand),Celontin (Brand),Brand-to-Brand,0.8,4,75%
Premarin (Brand),procarbazine hydrochloride (Generic),Brand-to-Generic,0.8,6,75%
Cyclogyl (Brand),Cyclessa (Brand),Brand-to-Brand,0.8,4,100%
Procysbi (Brand),Prezcobix (Brand),Brand-to-Brand,0.8,5,75%
Procysbi (Brand),Prezcobix (Brand),Brand-to-Brand,0.8,5,75%
Zinbryta (Brand),Zilbrysq (Brand),Brand-to-Brand,0.8,3,75%
Prezista (Brand),Propecia (Brand),Brand-to-Brand,0.8,5,75%
Trudhesa (Brand),Trelstar (Brand),Brand-to-Brand,0.8,6,75%
Dawnzera (Brand),Danziten (Brand),Brand-to-Brand,0.8,5,75%
dopamine hydrochloride (Generic),donanemab (Generic),Generic-to-Generic,0.8,6,75%
Prudoxin (Brand),Proleukin (Brand),Brand-to-Brand,0.8,5,75%
Spravato (Brand),Sporanox (Brand),Brand-to-Brand,0.8,5,75%
Premarin (Brand),procarbazine hydrochloride (Generic),Brand-to-Generic,0.8,6,75%
